?class	?label	?syn_type
<http://purl.obolibrary.org/obo/CHEBI_132502>	"fatty acid 18:3"	"label"
<http://purl.obolibrary.org/obo/CHEBI_133348>	"3-(4-hydroxyphenyl)-6-methoxy-4-oxo-4H-1-benzopyran-7-yl 6-O-acetyl-beta-D-glucopyranoside"	"exact synonym"
<http://purl.obolibrary.org/obo/CHEBI_133348>	"acetyl glycitin"@en	"label"
<http://purl.obolibrary.org/obo/CHEBI_133348>	"glycitein 7-(6-O-acetyl-beta-D-glucoside)"	"label"
<http://purl.obolibrary.org/obo/CHEBI_133354>	"bentonite"	"label"
<http://purl.obolibrary.org/obo/CHEBI_133354>	"bentonite"@en	"alternative term"
<http://purl.obolibrary.org/obo/CHEBI_134179>	"volatile organic compound"	"label"
<http://purl.obolibrary.org/obo/CHEBI_134438>	"titanium oxides"	"label"
<http://purl.obolibrary.org/obo/CHEBI_13643>	"glycol"	"label"
<http://purl.obolibrary.org/obo/CHEBI_136609>	"3,4,5-trihydroxy-1,8-bis[(2R,3R)-3,5,7-trihydroxy-3,4-dihydro-2H-chromen-2-yl]-6H-benzocyclohepten-6-one"	"exact synonym"
<http://purl.obolibrary.org/obo/CHEBI_136609>	"theaflavin"	"label"
<http://purl.obolibrary.org/obo/CHEBI_136609>	"theaflavin"@en	"label"
<http://purl.obolibrary.org/obo/CHEBI_136666>	"5-hydroxy-2-(3-hydroxy-4-methoxyphenyl)-6,7-dimethoxy-4H-1-benzopyran-4-one"	"exact synonym"
<http://purl.obolibrary.org/obo/CHEBI_136666>	"eupatorin"	"label"
<http://purl.obolibrary.org/obo/CHEBI_136666>	"eupatorin"@en	"label"
<http://purl.obolibrary.org/obo/CHEBI_138675>	"gas molecular entity"	"label"
<http://purl.obolibrary.org/obo/CHEBI_139120>	"carotenoid beta-end group"	"label"
<http://purl.obolibrary.org/obo/CHEBI_139322>	"poly(ethylene glycol) derivative"	"label"
<http://purl.obolibrary.org/obo/CHEBI_140677>	"4-hydroxy-all-trans-beta-carotene"	"exact synonym"
<http://purl.obolibrary.org/obo/CHEBI_140677>	"4-hydroxy-all-trans-beta-carotene"	"label"
<http://purl.obolibrary.org/obo/CHEBI_140677>	"trans-beta-carotene"@en	"label"
<http://purl.obolibrary.org/obo/CHEBI_140785>	"alkylcob(III)alamin"	"label"
<http://purl.obolibrary.org/obo/CHEBI_142263>	"isopeonidin 3-rutinoside"	"label"
<http://purl.obolibrary.org/obo/CHEBI_142263>	"isopeonidin 3-rutinoside"@en	"label"
<http://purl.obolibrary.org/obo/CHEBI_145207>	"13'-carboxy-alpha-tocopherol"	"label"
<http://purl.obolibrary.org/obo/CHEBI_145232>	"cellulose acetate"	"label"
<http://purl.obolibrary.org/obo/CHEBI_15040>	"retinyl palmitate"	"label"
<http://purl.obolibrary.org/obo/CHEBI_15040>	"retinyl palmitate"@en	"alternative term"
<http://purl.obolibrary.org/obo/CHEBI_15354>	"2-hydroxy-N,N,N-trimethylethanaminium"	"exact synonym"
<http://purl.obolibrary.org/obo/CHEBI_15354>	"Choline"	"exact synonym"
<http://purl.obolibrary.org/obo/CHEBI_15354>	"choline"	"exact synonym"
<http://purl.obolibrary.org/obo/CHEBI_15354>	"choline"	"label"
<http://purl.obolibrary.org/obo/CHEBI_15354>	"choline"@en	"label"
<http://purl.obolibrary.org/obo/CHEBI_15356>	"Cysteine"	"exact synonym"
<http://purl.obolibrary.org/obo/CHEBI_15356>	"cysteine"	"exact synonym"
<http://purl.obolibrary.org/obo/CHEBI_15356>	"cysteine"	"label"
<http://purl.obolibrary.org/obo/CHEBI_15356>	"cysteine"@en	"label"
<http://purl.obolibrary.org/obo/CHEBI_15366>	"ACETIC ACID"	"exact synonym"
<http://purl.obolibrary.org/obo/CHEBI_15366>	"Acetic acid"	"exact synonym"
<http://purl.obolibrary.org/obo/CHEBI_15366>	"acetic acid"	"exact synonym"
<http://purl.obolibrary.org/obo/CHEBI_15366>	"acetic acid"	"label"
<http://purl.obolibrary.org/obo/CHEBI_15366>	"acetic acid"@en	"alternative term"
<http://purl.obolibrary.org/obo/CHEBI_15366>	"acetic acid"@en	"label"
<http://purl.obolibrary.org/obo/CHEBI_15366>	"acetic acid, glacial"@en	"synonym"
<http://purl.obolibrary.org/obo/CHEBI_15377>	"WATER"	"exact synonym"
<http://purl.obolibrary.org/obo/CHEBI_15377>	"Water"	"exact synonym"
<http://purl.obolibrary.org/obo/CHEBI_15377>	"oxidane"	"exact synonym"
<http://purl.obolibrary.org/obo/CHEBI_15377>	"water"	"exact synonym"
<http://purl.obolibrary.org/obo/CHEBI_15377>	"water"	"label"
<http://purl.obolibrary.org/obo/CHEBI_15377>	"water"@en	"label"
<http://purl.obolibrary.org/obo/CHEBI_15409>	"(-)-menthol"	"label"
<http://purl.obolibrary.org/obo/CHEBI_15428>	"GLYCINE"	"exact synonym"
<http://purl.obolibrary.org/obo/CHEBI_15428>	"Glycine"	"exact synonym"
<http://purl.obolibrary.org/obo/CHEBI_15428>	"aminoacetic acid"	"exact synonym"
<http://purl.obolibrary.org/obo/CHEBI_15428>	"glycine"	"exact synonym"
<http://purl.obolibrary.org/obo/CHEBI_15428>	"glycine"	"label"
<http://purl.obolibrary.org/obo/CHEBI_15428>	"glycine"@en	"alternative term"
<http://purl.obolibrary.org/obo/CHEBI_15428>	"glycine"@en	"label"
<http://purl.obolibrary.org/obo/CHEBI_15443>	"(2->1)-beta-D-fructofuranan"	"exact synonym"
<http://purl.obolibrary.org/obo/CHEBI_15443>	"Inulin"	"exact synonym"
<http://purl.obolibrary.org/obo/CHEBI_15443>	"inulin"	"label"
<http://purl.obolibrary.org/obo/CHEBI_15443>	"inulin"@en	"label"
<http://purl.obolibrary.org/obo/CHEBI_15640>	"5-formyltetrahydrofolic acid"	"label"
<http://purl.obolibrary.org/obo/CHEBI_15640>	"5-formyltetrahydrofolic acid"@en	"label"
<http://purl.obolibrary.org/obo/CHEBI_15640>	"N-[4-({[2-amino-5-formyl-4-oxo-3,4,5,6,7,8-hexahydropteridin-6-yl]methyl}amino)benzoyl]-L-glutamic acid"	"exact synonym"
<http://purl.obolibrary.org/obo/CHEBI_15674>	"2,3-dihydroxybutanedioic acid"	"label"
<http://purl.obolibrary.org/obo/CHEBI_15674>	"tartaric acid (l(+)-)"@en	"alternative term"
<http://purl.obolibrary.org/obo/CHEBI_15674>	"tartaric acid, l(+)-"@en	"synonym"
<http://purl.obolibrary.org/obo/CHEBI_15693>	"aldose"	"label"
<http://purl.obolibrary.org/obo/CHEBI_15705>	"L-alpha-amino acid"	"label"
<http://purl.obolibrary.org/obo/CHEBI_15734>	"primary alcohol"	"label"
<http://purl.obolibrary.org/obo/CHEBI_15741>	"SUCCINIC ACID"	"exact synonym"
<http://purl.obolibrary.org/obo/CHEBI_15741>	"Succinic acid"	"exact synonym"
<http://purl.obolibrary.org/obo/CHEBI_15741>	"butanedioic acid"	"exact synonym"
<http://purl.obolibrary.org/obo/CHEBI_15741>	"succinic acid"	"exact synonym"
<http://purl.obolibrary.org/obo/CHEBI_15741>	"succinic acid"	"label"
<http://purl.obolibrary.org/obo/CHEBI_15741>	"succinic acid"@en	"alternative term"
